id,category,en,fr
publications,section,Publications,Publications
review,section,Reviews,Critiques
catalog,section,Catalog Essays,Essais de catalogue
grants,section,Grants,Subventions
artworks,section,Artworks,Œuvres
students,section,Student Supervision,Encadrement d'étudiants
teaching,section,Teaching,Enseignement
service,section,Service,Service
outreach,section,Outreach,Rayonnement
presentations,section,Presentations,Présentations
press,section,Press,Presse
education,section,Education,Formation
positions,section,Positions,Postes
recognitions,section,Recognitions,Distinctions
exhibitions,section,Exhibitions,Expositions
curatorship,section,Curatorship,Commissariat
residencies,section,Residencies,Résidences
software,section,Software,Logiciels
